load_unit_is_oneway,load_unit_is_special,load_unit_weight,load_unit_x_dim,load_unit_y_dim,load_unit_z_dim,packaging_is_oneway,packaging_is_special,packaging_load_capacity,packaging_raw_material_name,packaging_weight,packaging_x_dim,packaging_y_dim,packaging_z_dim,packagings_per_load_unit,product_generic_family_name,product_is_dangerous_good,product_is_esp,product_kogr_number,product_module_number,product_name,product_number,product_quality_index,product_supplier_number,product_weight,product_x_dim,product_y_dim,product_zdim,products_per_packaging
0,0,80,1240,835,970,0,0,1000,STAHL,80,1240,835,970,1,SEALING_SYSTEM_TRUNK_LID,0,0,P5176_003,603,ABDICHTUNG HECKKLAPPE,7366401,15.64761543,14424610,16877.13845,457.569336,1254.910523,449.474029,110
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,3.42,594,396,280,12,VACUUM_LINE_EXHAUST_SYSTEM,0,0,P1830_003,40,ZB UNTERDRUCKLEITUNG HINTEN,7844318,5.457532093,10305912,1272.219105,0,0,0,50
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,0.94,396,297,147,48,CABLE_TIE,0,0,P6114_006,40,ZB KABELBAND MIT HALTER FUER KANTE L150,6915983,0.161515537,10778910,47.5529322,0,0,0,500
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,1.66,594,396,147,24,BRACKET_EXHAUST_SYSTEM,0,0,P1820_001,40,HALTEBLECH 6HP26 F01N63 2WD,7578214,10.2285646,10218010,2697.010456,0,0,0,60
0,0,80,1240,835,970,0,0,1000,STAHL,80,1240,835,970,1,EDGE_GUARD_DOOR,0,0,P5172_002,403,KANTENSCHUTZ ABDICHTUNG T.H.,7298894,15.65663813,15310511,16614.08516,886.036865,193.399415,1067.75111,120
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,4,794,596,213,8,CABLE_HIGH_VOLTAGE,0,0,P6112_024,2414,ZB HV-LTG UVW LEB-SLE G30 LL S4VDA,9866373,496.105033,18560611,79629.28113,0,0,0,1
0,1,93,1240,840,675,0,1,2000,STAHL,93,1240,840,675,1,REINFORCEMENT_DOOR_BODY_FRONT,0,0,P4100_008,401,LI VERSTAERKUNGSSCHIENE TAH TV,7340973,8.343053212,,6310.21107,1053.661255,76.474853,129.083313,900
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,0.56,297,198,147,96,MOUNTING,0,0,P5135_006,406,EINSTECKBEFESTIGER,6957034,0.037375611,11455411,15.78106191,16.4249973,16.47573811,17.59852081,3
0,0,25,1200,800,144,0,0,20,KUNSTSTOFF,0.56,297,198,147,96,REINFORCEMENT_REAR_TRIM_PANELING,0,0,P4100_006,132,ZB LI VERSTAERKUNG ST HECKVERKLEIDUNG,7448791,0.977044722,20343410,698.8415843,15.056396,58.830505,65.265534,160
0,0,78,1240,835,500,0,0,1000,STAHL,78,1240,835,500,1,VACUUM_LINE_BRAKE_DEVICE,0,0,P1166_002,40,ZB BREMSUNTERDRUCKLEITUNG N52 RL FZGS,7576786,41.46704805,11446610,2122.187221,0,0,0,80
